PersonID,EventID,SpaceID,StartDateTime,EndDateTime
144,-1,0,2020-01-29 00:00:00,2020-01-29 09:38:46
39,-1,0,2020-01-29 00:00:00,2020-01-29 09:31:55
103,-1,0,2020-01-29 00:00:00,2020-01-29 10:20:43
68,-1,0,2020-01-29 00:00:00,2020-01-29 10:14:35
2,-1,0,2020-01-29 00:00:00,2020-01-29 09:31:04
26,-1,0,2020-01-29 00:00:00,2020-01-29 08:54:56
119,-1,0,2020-01-29 00:00:00,2020-01-29 08:16:55
101,-1,0,2020-01-29 00:00:00,2020-01-29 09:28:14
159,-1,0,2020-01-29 00:00:00,2020-01-29 08:58:37
91,-1,0,2020-01-29 00:00:00,2020-01-29 08:20:38
84,-1,0,2020-01-29 00:00:00,2020-01-29 09:35:07
133,-1,0,2020-01-29 00:00:00,2020-01-29 07:53:41
80,-1,0,2020-01-29 00:00:00,2020-01-29 10:58:52
73,-1,0,2020-01-29 00:00:00,2020-01-29 09:19:55
4,-1,0,2020-01-29 00:00:00,2020-01-29 09:18:53
124,-1,0,2020-01-29 00:00:00,2020-01-29 11:02:00
41,-1,0,2020-01-29 00:00:00,2020-01-29 10:24:18
149,-1,0,2020-01-29 00:00:00,2020-01-29 10:37:53
147,-1,0,2020-01-29 00:00:00,2020-01-29 10:33:35
104,-1,0,2020-01-29 00:00:00,2020-01-29 08:09:00
125,-1,0,2020-01-29 00:00:00,2020-01-29 10:11:10
8,-1,0,2020-01-29 00:00:00,2020-01-29 07:47:22
158,-1,0,2020-01-29 00:00:00,2020-01-29 09:04:11
24,-1,0,2020-01-29 00:00:00,2020-01-29 08:33:34
28,-1,0,2020-01-29 00:00:00,2020-01-29 07:52:32
123,-1,0,2020-01-29 00:00:00,2020-01-29 10:12:39
35,-1,0,2020-01-29 00:00:00,2020-01-29 09:39:40
112,-1,0,2020-01-29 00:00:00,2020-01-29 11:47:09
49,-1,0,2020-01-29 00:00:00,2020-01-29 08:33:40
48,-1,0,2020-01-29 00:00:00,2020-01-29 09:40:17
90,-1,0,2020-01-29 00:00:00,2020-01-29 09:36:05
31,-1,0,2020-01-29 00:00:00,2020-01-29 07:49:33
14,-1,0,2020-01-29 00:00:00,2020-01-29 09:27:42
37,-1,0,2020-01-29 00:00:00,2020-01-29 11:04:34
23,-1,0,2020-01-29 00:00:00,2020-01-29 09:19:13
148,-1,0,2020-01-29 00:00:00,2020-01-29 11:07:59
140,-1,0,2020-01-29 00:00:00,2020-01-29 09:21:09
155,-1,0,2020-01-29 00:00:00,2020-01-29 09:21:19
67,-1,0,2020-01-29 00:00:00,2020-01-29 09:31:00
118,-1,0,2020-01-29 00:00:00,2020-01-29 08:01:59
127,-1,0,2020-01-29 00:00:00,2020-01-29 10:25:09
107,-1,0,2020-01-29 00:00:00,2020-01-29 11:04:39
83,-1,0,2020-01-29 00:00:00,2020-01-29 09:00:57
9,-1,0,2020-01-29 00:00:00,2020-01-29 10:35:40
21,-1,0,2020-01-29 00:00:00,2020-01-29 09:59:42
115,-1,0,2020-01-29 00:00:00,2020-01-29 11:08:30
54,-1,0,2020-01-29 00:00:00,2020-01-29 09:51:52
100,-1,0,2020-01-29 00:00:00,2020-01-29 10:30:43
128,-1,0,2020-01-29 00:00:00,2020-01-29 08:57:45
1,-1,0,2020-01-29 00:00:00,2020-01-29 08:21:09
64,-1,0,2020-01-29 00:00:00,2020-01-29 08:13:57
108,-1,0,2020-01-29 00:00:00,2020-01-29 09:54:21
72,-1,0,2020-01-29 00:00:00,2020-01-29 10:09:59
19,-1,0,2020-01-29 00:00:00,2020-01-29 09:55:52
95,-1,0,2020-01-29 00:00:00,2020-01-29 08:53:27
